year,ppt_total,gdd,tmean_season,vpdmax_season,vpdmax_peak,phenology_start_date,phenology_peak_date,phenology_harvest_date,phenology_days_build,phenology_days_decline
2016,84.97209292211274,1747.2580778136785,18.25517990811367,14.067390428741668,26.682558919108192,2016-02-08,2016-07-14,2016-09-12,157,60
2017,78.86589151505352,1690.2511694146729,17.878476364296656,14.51405633699842,30.049999952316284,2017-05-03,2017-07-02,2017-10-27,60,117
2018,77.64108463405638,1684.4701598411427,17.881466906441865,14.553730826982434,31.14999955938768,2018-03-11,2018-06-22,2018-10-22,103,122
2019,78.43720948049264,1678.9755871203563,17.76758709639886,12.93503065337914,23.429844074471056,2019-03-11,2019-07-02,2019-10-27,113,117
2020,40.32635687534199,1761.6441609700569,18.03742410407596,14.940934617534532,28.274805998617367,2020-04-19,2020-08-20,2020-09-19,123,30
2021,47.13100789776144,1865.4395823870568,18.73491516774784,16.387020060402847,33.16472804823587,2021-04-22,2021-08-25,2021-10-16,125,52
2022,121.17209298643031,1752.97290022503,18.0207097647792,14.023105150356304,30.67984431288963,2022-02-16,2022-07-11,2022-10-16,145,97
2023,58.20542649497358,1873.453641622385,18.6014113631491,14.831095936607662,29.91240318431411,2023-03-18,2023-06-21,2023-10-29,95,130
2024,41.23643379363903,1694.7624397928444,17.90300740131605,14.19281745130568,30.374805844107343,2024-05-03,2024-06-25,2024-10-08,53,105
2025,59.355813974095874,1821.4623488078792,18.5016805372922,14.432359718440797,28.63992192948512,2025-04-18,2025-08-24,2025-10-20,128,57
